"DVNI_ERRORNUMBER";"DVNS_ERRORTIME";"DVNI_INSTALLATIONCODE";"DVNI_SENDERINSTALLATIONCODE";"MESSAGE_ID";"MESSAGE_TYPE";"INVOKE_TYPE";"INVOKE_NAME";"EVENT_TYPE";"ADDITIONAL_TEXT";"ADDITIONAL_INFOS";"DVNI_ERRORCATEGORY"
"1";2;"2011-05-17 11:28:17";5;5;"c0f1a90599314aed9a53b82fae6f5883";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"2";3;"2011-05-17 11:28:17";5;5;"defaf8904d834d0b8bc85e3a6f929228";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"3";4;"2011-05-17 11:28:17";5;5;"80cfa5536602418fad280be6d5115305";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"4";5;"2011-05-17 11:28:17";5;5;"d405a0aaf1764e8face2a8e93ecc75b1";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"5";6;"2011-05-17 11:28:17";5;5;"c097d380e66e4d44806a9f5d83fad95e";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"6";7;"2011-05-17 11:28:17";5;5;"9d681fab905c4a74bbe18977459910fd";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"7";8;"2011-05-17 11:28:17";5;5;"f9ef669700294ac9a277c79e2e99c6ae";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"8";9;"2011-05-17 11:28:17";5;5;"ece1e51ae5d449d39a904b37078a7b49";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"9";10;"2011-05-17 11:28:18";5;5;"c39c9cbeb33a41679db985a855ebb918";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"10";11;"2011-05-17 11:28:18";5;5;"d090f91db97b455ebdf6d397b575e3ed";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"11";12;"2011-05-17 11:28:18";5;5;"03f8b628082f4714b397ce4a3d04b839";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"12";13;"2011-05-17 11:28:18";5;5;"b0a03e292a1c484ba443cbaa08f89696";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"13";14;"2011-05-17 11:28:18";5;5;"21e8c30dc55e43f5bcc8bde03c630dc7";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_68";"";3
"14";15;"2011-05-17 11:28:18";5;5;"cf8c7ded4db74022b79096af914e8bd7";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_68";"";3
"15";16;"2011-05-17 11:28:18";5;5;"1328d0be20024981908214278b2d2bdf";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_21";"";1
"16";17;"2011-05-17 11:28:18";5;5;"13511cae28064482ba06b6f301785973";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_21";"";1
"17";18;"2011-05-17 11:28:19";5;5;"e7d185fd6a064afa9b00913648a22277";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_68";"";3
"18";19;"2011-05-17 11:28:19";5;5;"749592297b6048afa3cb7af6cac8a5b5";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_68";"";3
"19";20;"2011-05-17 11:28:19";5;5;"fb6f5d532c4e4313be2b0b9b6b6bfea7";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_21";"";1
"20";21;"2011-05-17 11:28:19";5;5;"f977b752cafc4d75b9db998695e0a846";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_21";"";1
"21";22;"2011-05-17 11:31:17";5;5;"ff86c5c4e7b245bcb267f40afb7348e9";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_68";"";3
"22";23;"2011-05-17 11:31:17";5;5;"12311c4d48e94bb5b45a58c827808c27";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_68";"";3
"23";24;"2011-05-17 11:31:29";5;5;"4a068468ed2947be9994879a95a63b5c";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_21";"";1
"24";25;"2011-05-17 11:31:29";5;5;"6eb2096066054d3db7d4951c88cf61b7";"notification";"saml";"diagnosis";"imCpuAndCommunications";"saml.status.DS_7_21";"";1
"25";27;"2011-05-17 11:28:49";1;1;"deef8d7f35f74f32a91a3879d00d6813";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"26";28;"2011-05-17 11:28:49";1;1;"98abbfc8475a44ff8affc80f7b903630";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"27";29;"2011-05-17 11:28:52";1;1;"64bb25207ec245c891900478eaa9d399";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"28";30;"2011-05-17 11:28:52";1;1;"04b9ee9947814a5b88d1f43fd3239d72";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"29";31;"2011-05-17 11:28:52";1;1;"32ff52eff89f49f7bf9dc32ba416532a";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"30";32;"2011-05-17 11:28:52";1;1;"4c8bb51f7788428a9e5912a40721f9ae";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"31";33;"2011-05-17 11:28:52";1;1;"803f045d127f4927b99243054f0f7278";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"32";34;"2011-05-17 11:28:52";1;1;"1729f909bdfa49ca894c1472c4d1d1e6";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"33";35;"2011-05-17 11:28:52";1;1;"2490960ae0f94a7f935fb539afcbdec7";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"34";36;"2011-05-17 11:28:53";1;1;"b36bb141b0684a5c9b888f5adb8d8939";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"35";37;"2011-05-17 11:28:53";1;1;"c87ae5af2b964d16ad365ab7935f0407";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"36";38;"2011-05-17 11:28:53";1;1;"b5fc3cc425ed4351af9799d4cd4188ac";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"37";39;"2011-05-17 11:28:53";1;1;"dbf2b7a476544a198bbbfe8ed8a8e799";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
"38";40;"2011-05-17 11:28:53";1;1;"94cdcb3902f64486a7ca9dcfb1a6b172";"notification";"saml";"diagnosis";"operationsDiagnosisCommunications";"saml.status.DS_7_12";"3";5
